ID: 1106641973174259712, retweet: 0
ID: 1106059958867714048, retweet: 1
ID: 1106368331140026368, retweet: 0
ID: 1106229821971918848, retweet: 0
ID: 1106249017158193152, retweet: 0
ID: 1106541038674403330, retweet: 0
ID: 1106436466224320513, retweet: 0
ID: 1106177414449778690, retweet: 0
ID: 1105953869631184900, retweet: 0
ID: 1106590177512882178, retweet: 0
ID: 1105945698099449856, retweet: 0
ID: 1106140742160957440, retweet: 0
ID: 1106086463953948674, retweet: 0
ID: 1106292284008644608, retweet: 0
ID: 1106003330117951488, retweet: 0
ID: 1106242227393581057, retweet: 0
ID: 1106166837337690113, retweet: 0
ID: 1106327674866360321, retweet: 0
ID: 1105937173696729088, retweet: 0
ID: 1106531810148642818, retweet: 0
ID: 1106696591816212481, retweet: 0
ID: 1106543350327504897, retweet: 0
ID: 1106448930865381376, retweet: 0
ID: 1106557748290830337, retweet: 0
ID: 1106181685522194433, retweet: 0
ID: 1106548108421447680, retweet: 0
ID: 1106373242204258304, retweet: 21
ID: 1105991777247526914, retweet: 0
ID: 1106125089148301317, retweet: 0
ID: 1106060729646383105, retweet: 1
ID: 1106630410728030211, retweet: 0
ID: 1106242335086727170, retweet: 0
ID: 1106047255780433921, retweet: 0
ID: 1106501609956102144, retweet: 0
ID: 1106151262721007616, retweet: 0
ID: 1106132204927836160, retweet: 0
ID: 1106221116899684364, retweet: 0
ID: 1106444649928028160, retweet: 0
ID: 1106440199192629248, retweet: 0
ID: 1106368407304396802, retweet: 0
ID: 1106469541046030337, retweet: 0
ID: 1106161875123765249, retweet: 0
ID: 1106362111180054536, retweet: 0
ID: 1106306119247499265, retweet: 2
ID: 1105964860712648707, retweet: 0
ID: 1105965275231461377, retweet: 0
ID: 1106237372960636928, retweet: 0
ID: 1106642910689284096, retweet: 18
ID: 1106352104761970689, retweet: 0
ID: 1106385244503109633, retweet: 1
ID: 1106623319166603266, retweet: 0
ID: 1106026686590660608, retweet: 0
ID: 1106639259883237376, retweet: 0
ID: 1106574867799908352, retweet: 2
ID: 1106205232747372544, retweet: 2
ID: 1106151325178355712, retweet: 0
ID: 1106653961476628480, retweet: 0
ID: 1106626990444965889, retweet: 1
ID: 1105962400442920960, retweet: 0
ID: 1106601229445038080, retweet: 0
ID: 1106536967951380480, retweet: 1
ID: 1106346997353758720, retweet: 0
